,text,re,fav
159,"['believ', 'gam', 'worldsery', 'httpstcocqiqsiy']",319,834
160,"['fam', 'sleep', 'dont', 'car', 'wak', 'worldsery', 'httpstcoookxreluk']",543,1819
161,"['gam', 'worldsery', 'httpstcosrqxrlnfp']",560,1086
162,"['watch', 'gam', 'lik', 'worldsery', 'httpstcoufdlmumfon']",760,1980
163,"['gam', 'yet', 'worldsery', 'httpstcocwrfkjnx']",803,2809
164,"['rooky', 'del', 'th', 'worldsery', 'httpstcojwushwbmgl']",249,1166
165,"['team', 'worldsery', 'lead', 'httpstcokumrgblptu']",834,3027
166,"['gumworldsery', 'httpstcogivgarg']",173,809
167,"['gam', 'inch', 'worldsery', 'httpstcoxgflzbpxiu']",610,2407
168,"['got', 'ta', 'hair', 'cotton', 'worldsery', 'httpstcoqopdzpwp']",358,1178
169,"['hey', 'rememb', 'last', 'night', 'on', 'day', 'til', 'back', 'worldsery', 'httpstcoayroobsy']",115,715
170,"['houstonstrong', 'httpstcoeziyxqdqf']",1224,3024
171,"['go', 'ahead', 'flip', 'astro', 'fan', 'worldsery', 'httpstcoepjhuzdz']",252,691
172,"['thought', 'astro', 'don', 'worldsery', 'httpstcouyyuibhrp']",548,1260
173,"['entertain', 'worldsery', 'httpstcorqjvmwu']",248,777
174,"['feelin', 'htown', 'worldsery', 'httpstcoyphwvhvy']",565,1555
175,"['loud', 'nois', 'worldsery', 'httpstcogmbrhit']",186,551
176,"['st', 'ballot', 'hal', 'famertim', 'allstarworldsery', 'championhappy', 'birthday', 'legend', 'pedromartinez', 'httpstcovyxweyyaur']",315,1205
177,"['nlcs', 'comvp', 'isnt', 'cool', 'anytim', 'soon', 'httpstcojstnllm', 'httpstcoconlosdy']",15,78
178,"['togeth', 'worldsery', 'httpstcotnaxfxurd']",276,1217
179,"['mood', 'la', 'worldsery', 'httpstcowjbqlyido']",1251,3062
180,"['catch', 'hug', 'worldsery', 'hom', 'lik', 'httpstcocnxxutwgmm']",104,519
181,"['honest', 'youd', 'hom', 'yasielpuig', 'hug', 'worldsery', 'httpstcozymfiwmxl']",109,498
182,"['worldsery', 'day', 'httpstcomdoisbmkf']",534,1478
183,"['tim', 'tomorrow', 'wel', 'watch', 'worldsery', 'httpstcopwiyxlgngt']",476,1769
184,"['may', 'birthday', 'wond', 'swing', 'robinsoncano', 'httpstcoevatrbh']",322,1463
185,"['josealtuv', 'top', 'world', 'clinch', 'httpstcobuyhfyih']",119,412
186,"['slap', 'hand', 'httpstcoengbluo']",86,365
