,text,re,fav
247,"['martinpir', 'breadjamfest', 'dangermain', 'hes', 'sweet', 'talk', 'dan']",0,1
248,"['kozakfvm', 'nic', 'on', 'gre', 'bridg', 'tickon', 'hot', 'day', 'tickon', 'mil', 'pastry', 'tickon', 'reason', 'lov', 'denmark', 'tick']",0,1
249,"['outspac', 'cyf', 'wed', 'reckon', 'zorb', 'next', 'destin', 'might', 'wor', 'shot']",0,1
250,"['investe', 'workingdigit', 'sistersbak', 'ask', 'on', 'tim', 'trampolin', 'eg']",0,1
251,"['cristinehel', 'wed', 'miff', 'bunny', 'someon', 'took', 'chocol', 'at']",0,1
252,"['strongstemshe', 'ummig', 'giyireland', 'beast', 'east', 'tough', 'littl', 'seedl']",0,2
253,"['ummig', 'strongstemshe', 'giyireland', 'look', 'lik', 'start', 'jack', 'mag', 'beanstalk', 'exceiv', 'dd', 'httpstcosioqonxns']",0,1
254,"['aravisthoma', 'herbivoreclub', 'fing', 'cross', 'youv', 'found', 'gre', 'excus', 'littl', 'holiday']",0,1
255,"['bgbaz', 'theyr', 'wrap', 'foil', 'us', 'good', 'sign']",0,1
256,"['oohmast', 'didnt', 'real', 'smoothy', 'larg', 'netherland', 'wev', 'nev', 'seen', 'big', 'windmil']",0,1
257,"['giyireland', 'stmolaga', 'wait', 'paty', 'lunch', 'invit']",0,0
258,"['giyireland', 'strongstemshe', 'pretty', 'imcress', 'work']",0,1
259,"['cristinehel', 'flow', 'expert', 'look', 'us', 'lik', 'ther', 'red', 'flow', 'blu', 'flow', 'right', 'middl']",0,1
260,"['bymprim', 'abmhschool', 'swpswansea', 'two', 'back', 'real', 'tal', 'childr']",0,2
261,"['heytherechannon', 'wouldnt', 'worry', 'much', 'spol', 'gram']",0,0
262,"['heytherechannon', 'what', 'next']",0,0
263,"['andydougla', 'monopolyuk', 'nevermind', 'second', 'priz', 'youd', 'com', 'first', 'beauty', 'contest']",0,0
264,"['sianapjohn', 'watch', 'gif', 'next', 'seventeen', 'hour']",0,2
265,"['latinzest', 'morrison', 'ear', 'bird', 'catch', 'smoothy', 'nic', 'on', 'patty']",0,1
266,"['andydougla', 'control', 'contin', 'within', 'first', 'two', 'mov', 'that', 'adv', 'andy']",0,0
267,"['fittiefodmapldn', 'beckyexcel', 'afraid', 'becky', 'due', 'typ', 'oat', 'us']",0,0
268,"['tomabraham', 'yo', 'man', 'fin', 'tast', 'tom', 'math', 'clock', 'retweet', 'per', 'drink', 'httpstcofxnwawztzz']",0,2
269,"['dundotweet', 'shout', 'spring', 'sky', 'list']",0,2
