,text,re,fav
107,"['meet', 'katharin', 'mccormick', 'pion', 'suffr', 'bir', 'control', 'mov', 'namesak', 'mit', 'mccormick', 'httpstcoytbiyvytrp']",24,63
108,"['study', 'twit', 'fals', 'new', 'travel', 'fast', 'tru', 'story', 'httpstcortqzkqo', 'httpstconatiqqlj']",54,75
109,"['childr', 'young', 'brain', 'network', 'devot', 'interpret', 'thought', 'peopl', 'httpstcoarkbotli', 'httpstcovamxhsixvp']",42,101
110,"['emit', 'mil', 'year', 'big', 'bang', 'sign', 'ind', 'univers', 'much', 'cold', 'expect', 'httpstcoguvwsos']",35,84
111,"['sherlock', 'strip', 'pap', 'ind', 'pres', 'pathog', 'tum', 'dna', 'genet', 'sign', 'int', 'httpstcowqusxdsel']",133,264
112,"['corb', 'swain', 'continu', 'meld', 'techn', 'art', 'interest', 'expl', 'pot', 'innov', 'httpstcognoymkasm']",23,65
113,"['rt', 'mitalumn', 'gam', 'day', 'mitmb', 'che', 'tun', 'tak', 'middathlet', 'ncaadii', 'sweet', 'sixteen', 'https']",6,0
114,"['rt', 'mitmech', 'upcom', 'weekend', 'alumn', 'jessic', 'shi', 'second', 'left', 'pres', 'tactilemit', 'realtim', 'text', 'brail', 'convert']",16,0
115,"['rt', 'mitsloanexec', 'new', 'blog', 'partn', 'univers', 'innov', 'ecosystem', 'unlock', 'valu', 'httpstcobrviph']",5,0
116,"['evad', 'inflight', 'lightn', 'strikes', 'httpstcoetkvynaw', 'httpstcokwwvppb']",41,80
117,"['seen', 'lobby', 'morn', 'thank', 'mitstud', 'httpstcocktdbnbe']",116,410
118,"['new', 'approach', 'fus', 'energy', 'start', 'today', 'mariazub', 'vic', 'presid', 'research', 'bostonglob', 'httpstcoeggjwcn']",71,132
119,"['rt', 'bostonglob', 'globetechlab', 'mit', 'say', 'nuclear', 'fus', 'pract', 'energy', 'sourc', 'less', 'two', 'decad', 'away', 'httpstcoblovyb']",48,0
120,"['mit', 'new', 'form', 'company', 'launch', 'novel', 'approach', 'fus', 'pow', 'httpstcoknzqtokv', 'httpstcopdsrkio']",187,305
121,"['turbo', 'yearold', 'mix', 'bree', 'youl', 'find', 'turbo', 'mitphys', 'academ', 'off', 'lov', 'peopl', 'ag', 'httpstcomzemljld']",33,161
122,"['rt', 'mitsloanalumn', 'part', 'mitsloanwom', 'gre', 'expery', 'opportun', 'plan', 'ev', 'com']",7,0
123,"['mit', 'solv', 'execut', 'direct', 'alex', 'amouyel', 'annount', 'solvemit', 'next', 'set', 'challeng', 'httpstcobeqivwhvm', 'httpstcozmdntvfgbt']",22,43
124,"['perfect', 'condit', 'kil', 'court', 'snowm', 'photo', 'em', 'garlandmit', 'httpstcobooflsv']",27,125
125,"['internationalwomensday', 'discov', 'mit', 'robot', 'expert', 'cynthiabreaz', 'express', 'robot', 'kismet', 'httpstcoqesnord']",79,212
126,"['starstud', 'lineup', 'help', 'institut', 'celebr', 'launch', 'new', 'in', 'hum', 'machin', 'intellig', 'httpstcosvqkzdtn']",17,57
127,"['microscop', 'flaw', 'mat', 'structure', 'lead', 'stent', 'deform', 'impl', 'httpstcougktkpqfxf', 'httpstcoaowsae']",49,67
128,"['rt', 'jpalglob', 'seemaecon', 'expand', 'research', 'synthes', 'policy', 'work', 'foc', 'new', 'sect', 'gend', 'learn']",18,0
129,"['rt', 'mitshass', 'nee', 'stem', 'maj', 'lib', 'art', 'train', 'say', 'chem', 'lorett', 'jacksonhay', 'washington', 'post', 'httpstcoq']",33,0
130,"['rt', 'mindhandheart', 'dean', 'david', 'randal', 'justin', 'hand', 'goody', 'bag', 'lobby', 'mitrak', 'httpstcoxufzixgjl']",10,0
131,"['ins', 'superconduc', 'phys', 'find', 'graph', 'httpstcovkesguyy', 'mitphys', 'httpstcojsfvpwa']",71,172
132,"['wel', 'know', 'wom', 'mit', 'httpstcoqwvwweej', 'via', 'huffpostblog', 'womenshistorymon', 'httpstcovstvpazubw']",37,92
133,"['theyr', 'com', 'pi', 'day', 'tau', 'tim', 'httpstcoczqpggd', 'mit', 'onlyatmit', 'httpstcojkdufp']",82,175
134,"['new', 'system', 'patch', 'sec', 'hol', 'left', 'op', 'web', 'brows', 'privatebrows', 'funct', 'httpstcojedlkcys', 'httpstcoktftwjdis']",42,46
135,"['rt', 'mitdeptofb', 'new', 'study', 'solv', 'arthrit', 'drug', 'mystery', 'lauffenburg', 'lab', 'found', 'p', 'extrem', 'elev', 'suppress']",22,0
136,"['outstand', 'mit', 'stud', 'french', 'expl', 'par', 'et', 'la', 'rue', 'httpstcohoymlysq', 'mitshass', 'httpstcoksctftvjw']",11,59
137,"['rt', 'mitsloanadcom', 'dyk', 'mitsloanwom', 'lisadcon', 'mba', 'jess', 'newm', 'mba', 'christinaqi', 'sb', 'earn', 'spot', 'forb', 'und']",7,0
138,"['study', 'rev', 'brain', 'track', 'object', 'mot', 'httpstcoajhxrdbg', 'mcgovernmit', 'httpstcojlzosxoye']",31,76
139,"['vir', 'tool', 'trac', 'longterm', 'neuron', 'act', 'httpstcooqavsobaaw', 'httpstcooygktyll']",65,152
140,"['new', 'chip', 'reduc', 'neur', 'network', 'pow', 'consum', 'perc', 'mak', 'pract', 'batterypow', 'httpstcoucmeuum']",44,134
141,"['rt', 'geekwir', 'mit', 'presid', 'rafael', 'reif', 'believ', 'tech', 'sci', 'stud', 'chang', 'world', 'httpstcovkkvafyk']",28,0
142,"['rt', 'shassstud', 'technolog', 'respond', 'soc', 'econom', 'environ', 'policy', 'us', 'spur', 'creat']",57,0
143,"['march', 'st', 'ful', 'moon', 'set', 'behind', 'gre', 'domephoto', 'danzdil', 'httpstcohzuefgyps']",77,342
144,"['mit', 'intellig', 'quest', 'seek', 'driv', 'develop', 'technolog', 'tool', 'posit', 'influ', 'soc', 'httpstcoreolqfinyj']",42,99
145,"['dyk', 'meg', 'smi', 'sm', 'first', 'wom', 'nam', 'unit', 'stat', 'chief', 'technolog', 'off', 'serv', 'unt', 'httpstcodhrlbbaqo']",30,80
146,"['way', 'streets', 'build', 'arrang', 'mak', 'big', 'diff', 'heat', 'build', 'study', 'show', 'httpstcomlmvlkxul']",50,90
147,"['neuroscy', 'discov', 'cellul', 'pathway', 'encod', 'mem', 'strengthening', 'spec', 'synaps', 'httpstconbttmddoe']",188,362
148,"['mitsoftbal', 'team', 'season', 'start', 'today', 'nfcaorg', 'divid', 'ii', 'leadoff', 'class', 'ready', 'httpstcosdylnhan']",9,47
149,"['let', 'mit', 'commun', 'chancel', 'cynth', 'barnhart', 'regard', 'upd', 'mit', 'support', 'dac', 'stu', 'httpstcojskvyfzyz']",31,112
150,"['rt', 'mitc', 'cee', 'research', 'found', 'new', 'typ', 'vir', 'oc', 'could', 'lead', 'evolv', 'insight', 'httpstcoxxhaatgeg', 'https']",36,0
151,"['could', 'revers', 'dam', 'caus', 'condit', 'alzheim', 'diseas', 'via', 'nat', 'httpstcorqgyqbdruq']",65,113
152,"['mit', 'seny', 'rhod', 'scholar', 'matthew', 'chun', 'want', 'promot', 'innov', 'enh', 'qual', 'lif', 'develop', 'httpstcoizhcovog']",39,96
153,"['study', 'find', 'eng', 'young', 'childr', 'convers', 'import', 'brain', 'develop', 'dump', 'word', 'httpstcocevovao']",91,189
154,"['rt', 'wbur', 'theyr', 'kind', 'lik', 'leftov', 'evolv', 'dr', 'david', 'reich', 'broadinstitut', 'say', 'modernday', 'eleph', 'httpst']",12,0
155,"['rt', 'mitc', 'cee', 'fieldwork', 'program', 'stud', 'tak', 'lead', 'httpstcomfgcdobrzz', 'httpstcoesxmdlqvm']",6,0
156,"['rt', 'medialab', 'wir', 'joi', 'argu', 'cur', 'research', 'econom', 'academ', 'ai', 'undervalu', 'rol', 'intuit', 'sci', 'ht']",68,0
157,"['womenshistorymon', 'begin', 'salut', 'story', 'wom', 'mit', 'httpstcohnlvqca', 'httpstcorrfbfnokk']",62,138
158,"['nee', 'find', 'way', 'mak', 'hom', 'car', 'work', 'produc', 'sav', 'healthc', 'system', 'paul', 'osterm', 'httpstcondvpwsruo']",22,37
159,"['robot', 'system', 'develop', 'mitcsail', 'minim', 'dang', 'saw', 'help', 'us', 'custom', 'furnit', 'httpstcoxzxqopoj']",25,77
160,"['smart', 'furnit', 'transform', 'spac', 'tiny', 'apart', 'bedroom', 'work', 'spac', 'closet', 'httpstcozpftsbtms', 'httpstcoijnvmzm']",90,99
161,"['rt', 'senseablec', 'discov', 'turn', 'urb', 'vehic', 'sens', 'platform', 'senseablec', 'research', 'deploy', 'environ']",18,0
162,"['astronom', 'detect', 'earliest', 'evid', 'yet', 'hydrog', 'univers', 'httpstcoagnypsuhr', 'httpstcohpoyxugmv']",68,131
163,"['mit', 'rat', 'subject', 'qs', 'world', 'univers', 'rank', 'httpstcoenyexrboi', 'qswurphoto', 'jak', 'bel', 'httpstcoudcdipg']",106,323
164,"['democr', 'dying', 'scholars', 'writ', 'tackl', 'press', 'quest', 'mitshass', 'for', 'httpstcoitvbihonnw']",21,36
165,"['happy', 'birthday', 'architect', 'frank', 'gehry', 'design', 'on', 'mit', 'icon', 'build', 'ray', 'mar', 'stat', 'ce', 'httpstcoaktdyknlu']",72,275
166,"['study', 'rev', 'polym', 'stent', 'fail', 'httpstcoajufrohrzy', 'httpstcoccaudteri']",44,54
167,"['new', 'robot', 'system', 'could', 'lend', 'hand', 'wareh', 'sort', 'pick', 'clear', 'task', 'httpstconbuoqx']",26,64
168,"['rt', 'mitshass', 'mit', 'anthropolog', 'stef', 'helmreich', 'conduc', 'fieldwork', 'aboard', 'un', 'flip', 'ship', 'part', 'research', 'way', 'oc']",12,0
169,"['rt', 'mitstud', 'tfw', 'presid', 'reif', 'giv', 'us', 'shout', 'say', 'mitstud', 'inspir', 'geekwir', 'geek', 'week']",10,0
170,"['rescu', 'atlant', 'cherry', 'pie', 'adapt', 'nic', 'lif', 'nor', 'lov', 'play', 'snow', 'dai', 'httpstcoqzuigaijfo']",13,73
171,"['long', 'held', 'stud', 'mak', 'decid', 'bas', 'think', 'get', 'colleg', 'httpstcoypwtvk']",31,143
172,"['follow', 'us', 'snapch', 'go', 'class', 'mit', 'seny', 'pearl', 'lee', 'week', 'httpstcouwdqjryvk']",7,35
173,"['mit', 'launch', 'task', 'forc', 'work', 'fut', 'httpstcoveciecrkcs', 'mitbetterworld', 'httpstcoeqxtqgfes']",25,72
